"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 23 19:08:06 GMT 2021","Thu Sep 23 19:08:07 GMT 2021","793","","io.github.maximilianoalves.tests.carrinhos.tests.CarrinhosTest","","io.github.maximilianoalves.tests.carrinhos.tests.CarrinhosTest","deveListarTodosOsCarrinhosComSucesso","deveListarTodosOsCarrinhosComSucesso()","Deve listar todos os carrinhos com sucesso."
"passed","Thu Sep 23 19:08:18 GMT 2021","Thu Sep 23 19:08:19 GMT 2021","844","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","deveCadastrarUsuarioAdministradoComSucesso","deveCadastrarUsuarioAdministradoComSucesso()","Deve cadastrar um usuário administrador com sucesso"
"passed","Thu Sep 23 19:08:16 GMT 2021","Thu Sep 23 19:08:17 GMT 2021","1646","","io.github.maximilianoalves.tests.usuarios.tests.ExcluirUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ExcluirUsuariosTest","excluirUsuarioAdministradorComSucesso","excluirUsuarioAdministradorComSucesso()","Excluir um usuário administrador com sucesso."
"passed","Thu Sep 23 19:07:57 GMT 2021","Thu Sep 23 19:08:00 GMT 2021","2794","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","deveListarProdutosComSucesso","deveListarProdutosComSucesso()","Deve listar os produtos com sucesso."
"passed","Thu Sep 23 19:08:08 GMT 2021","Thu Sep 23 19:08:09 GMT 2021","1013","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","deveListarUsuariosComSucesso","deveListarUsuariosComSucesso()","Deve listar os usuários com sucesso."
"passed","Thu Sep 23 19:08:12 GMT 2021","Thu Sep 23 19:08:14 GMT 2021","1788","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","deveListarUsuarioUtilizandoId","deveListarUsuarioUtilizandoId()","Deve listar um usuário utilizando o ID"
"passed","Thu Sep 23 19:08:04 GMT 2021","Thu Sep 23 19:08:06 GMT 2021","2006","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","deveBuscarUnicoProdutoSucesso","deveBuscarUnicoProdutoSucesso()","Deve buscar um unico produto com sucesso"
"passed","Thu Sep 23 19:08:09 GMT 2021","Thu Sep 23 19:08:10 GMT 2021","995","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","deveValidarSchemaListaUsuarios","deveValidarSchemaListaUsuarios()","Deve validar o schema json da lista de usuários"
"passed","Thu Sep 23 19:08:07 GMT 2021","Thu Sep 23 19:08:08 GMT 2021","1003","","io.github.maximilianoalves.tests.login.tests.LoginTest","","io.github.maximilianoalves.tests.login.tests.LoginTest","deveRealizarOLoginComSucesso","deveRealizarOLoginComSucesso()","Deve realizar o login com sucesso."
"passed","Thu Sep 23 19:08:17 GMT 2021","Thu Sep 23 19:08:18 GMT 2021","860","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","deveCadastrarUsuarioNaoAdministradoComSucesso","deveCadastrarUsuarioNaoAdministradoComSucesso()","Deve cadastrar um usuário não administrador com sucesso"
"passed","Thu Sep 23 19:08:02 GMT 2021","Thu Sep 23 19:08:04 GMT 2021","2273","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","deveValidarSchemaUnicoProduto","deveValidarSchemaUnicoProduto()","Deve validar o schema de um único produto"
"passed","Thu Sep 23 19:08:10 GMT 2021","Thu Sep 23 19:08:12 GMT 2021","1860","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","deveValidarSchemaUsuarioUtilizandoId","deveValidarSchemaUsuarioUtilizandoId()","Deve validar o schema json de um usuário utilizando o ID"
"passed","Thu Sep 23 19:08:14 GMT 2021","Thu Sep 23 19:08:16 GMT 2021","2113","","io.github.maximilianoalves.tests.usuarios.tests.ExcluirUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ExcluirUsuariosTest","excluirUsuarioNaoAdministradorComSucesso","excluirUsuarioNaoAdministradorComSucesso()","Excluir um usuário não administrador com sucesso."
"passed","Thu Sep 23 19:08:00 GMT 2021","Thu Sep 23 19:08:02 GMT 2021","1451","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","deveValidarSchemaListarProdutos","deveValidarSchemaListarProdutos()","Deve validar o schema json da lista de produtos."
